"MESH_TYPE"	"MESH_SOURCE_CODE"	"MESH_SOURCE_NAME"	"RECORD_COUNT"	"RECORD_TYPE"
"CONDITION"	"D002310"	"Cardiomyopathy, Alcoholic"	647	"DISTINCT PERSON"
"CONDITION"	"D001145"	"Arrhythmias, Cardiac"	116336	"DISTINCT PERSON"
"CONDITION"	"D001281"	"Atrial Fibrillation"	88392	"DISTINCT PERSON"
"CONDITION"	"D056833"	"Central Serous Chorioretinopathy"	8623	"DISTINCT PERSON"
"CONDITION"	"D000707"	"Anaphylaxis"	12532	"DISTINCT PERSON"
"CONDITION"	"D016512"	"Ankle Injuries"	68518	"DISTINCT PERSON"
"CONDITION"	"D000130"	"Achondroplasia"	386	"DISTINCT PERSON"
"CONDITION"	"D000437"	"Alcoholism"	88811	"DISTINCT PERSON"
"CONDITION"	"D000544"	"Alzheimer Disease"	1402	"DISTINCT PERSON"
"CONDITION"	"D000562"	"Amebiasis"	332	"DISTINCT PERSON"
"CONDITION"	"C538175"	"Acquired ichthyosis"	835	"DISTINCT PERSON"
"CONDITION"	"D000568"	"Amenorrhea"	134461	"DISTINCT PERSON"
"CONDITION"	"D001658"	"Biliary Fistula"	170	"DISTINCT PERSON"
"CONDITION"	"D000740"	"Anemia"	494735	"DISTINCT PERSON"
"CONDITION"	"D000030"	"Abortion, Missed"	31105	"DISTINCT PERSON"
"CONDITION"	"D000312"	"Adrenal Hyperplasia, Congenital"	3990	"DISTINCT PERSON"
"CONDITION"	"D001008"	"Anxiety Disorders"	1464902	"DISTINCT PERSON"
"CONDITION"	"D000257"	"Adenoviridae Infections"	3863	"DISTINCT PERSON"
"CONDITION"	"D001195"	"Asbestosis"	319	"DISTINCT PERSON"
"CONDITION"	"D000856"	"Anorexia Nervosa"	4072	"DISTINCT PERSON"
"CONDITION"	"D015746"	"Abdominal Pain"	880885	"DISTINCT PERSON"
"CONDITION"	"D001064"	"Appendicitis"	13243	"DISTINCT PERSON"
"CONDITION"	"D001259"	"Ataxia"	11465	"DISTINCT PERSON"
"CONDITION"	"D016115"	"Albinism, Oculocutaneous"	358	"DISTINCT PERSON"
"CONDITION"	"D016470"	"Bacteremia"	14168	"DISTINCT PERSON"
"CONDITION"	"D058606"	"Accessory Atrioventricular Bundle"	6829	"DISTINCT PERSON"
"CONDITION"	"D001035"	"Aphakia"	3231	"DISTINCT PERSON"
"CONDITION"	"D000430"	"Alcohol Withdrawal Delirium"	2733	"DISTINCT PERSON"
"CONDITION"	"D000648"	"Amnesia, Retrograde"	1036	"DISTINCT PERSON"
"CONDITION"	"D000326"	"Adrenoleukodystrophy"	2887	"DISTINCT PERSON"
"CONDITION"	"D018784"	"Abdominal Abscess"	4978	"DISTINCT PERSON"
